Year,DeathRate
2000,0.8416260820398009
2001,0.8212113048258707
2002,0.809973277761194
2003,0.7759313430845771
2004,0.8357990277313433
2005,0.864884220676617
2006,0.876791042238806
2007,0.8970230173134329
2008,0.9259531263681593
2009,0.9568619988059702
2010,0.9207429058706468
2011,0.9074240265671641
2012,0.9157720758208955
2013,0.9054424162686567
2014,0.9497185318905472
2015,0.9864263300497512
2016,1.071687072238806
2017,1.1186022882587066
2018,1.113748769402985
2019,1.1023186545771144
2020,1.181327857313433
2021,1.2466473213930347
